,ax,ay,az,gx,gy,gz,cx,cy,cz
1,1112,1038,-4105,-108,115,84,-68,319,-600
2,1083,1066,-4137,-113,94,72,-68,319,-600
3,1096,1036,-4074,-110,34,52,-68,319,-600
4,1071,1024,-4046,-113,-20,46,-68,319,-600
5,1062,1060,-4029,-113,-17,42,-68,319,-600
6,1052,1050,-4008,-101,17,38,-68,319,-600
7,1043,1050,-3968,-101,63,26,-68,319,-600
8,1067,1065,-4014,-81,96,16,-68,319,-600
9,1079,1086,-4016,-26,141,8,-68,319,-600
10,1070,1090,-4092,27,166,-7,-68,319,-600
11,1090,1021,-4080,74,171,-30,-68,319,-600
12,1134,1015,-4093,53,134,-41,-68,319,-600
13,1120,1001,-4101,31,125,-42,-67,315,-595
14,1098,998,-4085,17,137,-48,-67,315,-595
15,1083,1007,-4054,17,149,-42,-67,315,-595
16,1076,998,-4066,22,154,-47,-67,315,-595
17,1102,1010,-4070,18,152,-40,-67,315,-595
18,1063,976,-4096,19,154,-28,-67,315,-595
19,1099,922,-4090,8,124,-29,-67,315,-595
20,1128,915,-4131,-45,67,-19,-67,315,-595
21,1103,935,-4118,-97,29,2,-67,315,-595
22,1095,980,-4137,-116,16,9,-67,315,-595
23,1092,985,-4132,-125,17,16,-67,315,-595
24,1114,1011,-4098,-121,14,11,-67,315,-595
25,1108,987,-4129,-127,1,-3,-67,315,-595
26,1127,1013,-4133,-109,-18,-7,-67,315,-595
27,1110,1014,-4154,-93,-31,-9,-67,315,-595
28,1101,983,-4151,-78,-30,-12,-67,315,-595
29,1113,995,-4166,-78,-36,-10,-67,315,-595
30,1096,979,-4177,-83,-21,2,-69,326,-598
31,1073,993,-4132,-92,3,7,-69,326,-598
32,1062,1020,-4109,-84,23,0,-69,326,-598
33,1079,1011,-4162,-82,50,-21,-69,326,-598
34,1091,1005,-4125,-95,72,-31,-69,326,-598
35,1095,1028,-4154,-104,100,-43,-69,326,-598
36,1083,1010,-4130,-86,110,-59,-69,326,-598
37,1090,1009,-4180,-54,132,-63,-69,326,-598
38,1057,991,-4144,-46,156,-64,-69,326,-598
39,1092,973,-4127,-44,200,-77,-69,326,-598
40,1122,982,-4128,-48,191,-81,-69,326,-598
41,1146,978,-4134,-79,141,-73,-69,326,-598
42,1129,979,-4107,-66,100,-54,-69,326,-598
43,1125,1002,-4081,-39,55,-43,-69,326,-598
44,1106,1006,-4074,-18,53,-45,-69,326,-598
45,1118,973,-4110,-28,69,-46,-69,326,-598
46,1086,1019,-4043,-39,90,-52,-63,318,-602
47,1118,1006,-4031,-25,109,-54,-63,318,-602
48,1083,995,-4016,-14,106,-50,-63,318,-602
49,1078,954,-4011,-10,121,-44,-63,318,-602
50,1081,945,-4025,-20,119,-44,-63,318,-602
51,1082,973,-4058,-35,124,-38,-63,318,-602
52,1087,979,-4098,-60,143,-33,-63,318,-602
53,1107,1023,-4098,-64,165,-28,-63,318,-602
54,1104,1004,-4066,-47,201,-28,-63,318,-602
55,1098,1010,-4066,-44,223,-33,-63,318,-602
56,1098,1056,-4058,-24,226,-41,-63,318,-602
57,1110,1031,-4040,-1,198,-42,-63,318,-602
58,1108,1006,-3983,3,136,-41,-63,318,-602
